255,255
255,144
253,144
251,131
228,131
228,123
228,120
234,81
234,74
234,74
215,74
215,74
226,78
226,72
226,63
220,63
220,57
194,57
194,57
194,57
184,57
184,57
173,50
173,50
173,50
168,50
169,50
169,50
161,48
161,47
161,47
162,47
162,47
164,44
164,44
164,44
164,41
164,41
162,37
162,37
160,30
162,37
164,37
164,33
158,33
158,33
158,33
162,33
162,33
162,33
162,37
162,37
162,37
160,37
160,33
160,30
162,30
162,33
162,33
158,33
158,33
158,33
156,33
152,33
158,33
158,33
156,33
157,33
157,33
155,33
155,33
155,33
152,33
153,37
153,37
153,30
153,33
153,33
155,33
155,33
155,30
155,30
155,33
158,33
155,33
155,33
158,33
158,33
160,33
160,33
160,33
155,33
155,19
160,19
152,19
151,8
153,8
153,6
155,6
150,6
150,0
150,0
148,0
148,0
148,0
148,0
150,0
148,0
148,0
150,0
152,0
154,0
154,0
152,0
152,0
154,0
154,0
160,0
162,0
162,0
162,0
164,0
160,0
160,0
158,0
156,0
156,0
156,0
166,0
169,0
169,0
169,0
166,0
166,0
166,0
164,0
154,0
147,0
147,0
145,0
139,0
139,0
135,0
129,0
116,0
116,0
109,0
107,0
0,0
